N,number_of_unknowns,method_name,number_of_repeats,target_hits,median_final_original_true_relative_residual,median_solver_time_sec,minimum_solver_time_sec,maximum_solver_time_sec,basis_storage_mib,maximum_basis_rank
150,3375000,Preconditioned full GMRES,3,3,3.64480464839782e-09,0.963872916666667,0.96177325,1.43458029166667,128.746032714844,NaN
150,3375000,Fixed Tucker-GMRES,3,3,1.58476868695602e-07,0.552526875,0.494243958333333,0.642000041666667,1.91934967041016,52
150,3375000,Relaxed Tucker-GMRES,3,3,1.7688785052622e-07,0.195455625,0.183124958333333,0.312004916666667,0.410247802734375,20
200,8000000,Preconditioned full GMRES,3,3,3.31286440828815e-10,2.61950083333333,2.5983815,2.89918695833333,305.17578125,NaN
200,8000000,Fixed Tucker-GMRES,3,3,1.82175891810779e-07,1.37285875,1.10014225,1.65419554166667,4.67648315429688,73
200,8000000,Relaxed Tucker-GMRES,3,3,4.19544279587839e-07,0.323001708333333,0.29539175,0.325417875,0.603973388671875,22
250,15625000,Preconditioned full GMRES,3,3,7.07389356190019e-11,4.63813941666667,4.27528529166667,5.3159375,596.046447753906,NaN
250,15625000,Fixed Tucker-GMRES,3,3,3.43962154575798e-07,2.27017366666667,2.18471204166667,3.07474829166667,8.25971984863281,89
250,15625000,Relaxed Tucker-GMRES,3,3,4.68358992374808e-07,0.465612958333333,0.434727333333333,0.509060791666667,0.767356872558594,23
300,27000000,Preconditioned full GMRES,3,3,3.16325408301007e-10,9.49723391666667,9.08934283333333,9.6227425,1029.96826171875,NaN
300,27000000,Fixed Tucker-GMRES,3,3,2.73674526962275e-07,3.1987485,2.8646735,3.44456691666667,8.04831695556641,86
300,27000000,Relaxed Tucker-GMRES,3,3,6.36190220123328e-07,0.498156125,0.491516625,0.543069416666667,0.862648010253906,21
350,42875000,Preconditioned full GMRES,3,3,1.21722050589425e-09,26.784380625,23.2521174166667,29.1184540833333,1635.55145263672,NaN
350,42875000,Fixed Tucker-GMRES,3,3,4.68313256239329e-07,5.155060625,3.51826554166667,5.455408,8.31146240234375,86
350,42875000,Relaxed Tucker-GMRES,3,0,1.10704713811193e-06,0.518795541666667,0.498022,0.544912083333333,0.990982055664062,22
400,64000000,Preconditioned full GMRES,3,3,1.87085333577026e-10,221.602175041667,220.614249291667,231.0090815,2441.40625,NaN
400,64000000,Fixed Tucker-GMRES,3,3,5.54833366210546e-07,39.3225620416667,38.491681375,40.6842435,13.128059387207,102
400,64000000,Relaxed Tucker-GMRES,3,3,7.71372456409489e-07,3.65154654166667,3.42464041666667,5.33943629166667,1.23698425292969,25
