phase,measured,N,number_of_unknowns,preconditioner_tucker_rank,preconditioner_spectral_delta,preconditioner_condition_number,preconditioner_setup_time_sec,method_index,method_id,method_name,repeat_index,order_position,iterations,passed,stop_reason,final_original_true_relative_residual,final_computed_preconditioned_relative_residual,final_independent_preconditioned_relative_residual,preconditioned_residual_gap,solver_time_sec,diagnostic_time_sec,wall_time_sec,outer_call_time_sec,basis_storage_mib,maximum_basis_rank,solution_mode_1_rank,solution_mode_2_rank,solution_mode_3_rank,rank_cap_active,maximum_operator_error_to_tolerance_ratio,maximum_orthogonalisation_error_to_tolerance_ratio,preallocated_full_basis_gib,conservative_full_array_estimate_gib
measured,1,150,3375000,7,0.0861831420995215,1.16440382043816,0.139467666666667,1,full,Preconditioned full GMRES,1,1,4,1,cycle_length,3.64480464839782e-09,1.74756018529541e-12,1.74749314647928e-12,6.70388161351557e-17,1.43458029166667,0.215591541666667,1.65024683333333,1.652583625,128.746032714844,NaN,NaN,NaN,NaN,0,NaN,NaN,0.12572854757309,0.452622771263123
measured,1,150,3375000,7,0.0861831420995215,1.16440382043816,0.168253875,2,fixed,Fixed Tucker-GMRES,1,2,4,1,iteration_limit,1.58476868695602e-07,1.7440903316075e-12,1.00294145349573e-10,9.85500550179651e-11,0.494243958333333,0.144413125,0.640507958333333,0.642165375,1.91934967041016,52,11,11,11,0,0.875557042314066,0.890102425388511,0.12572854757309,0.452622771263123
measured,1,150,3375000,7,0.0861831420995215,1.16440382043816,0.128343041666667,3,relaxed,Relaxed Tucker-GMRES,1,3,4,0,computed_preconditioned_target,1.7688785052622e-07,1.44426739758366e-16,6.07868517737809e-10,6.07868373311069e-10,0.312004916666667,0.14618875,0.460116,0.461411166666667,0.410247802734375,20,11,11,11,0,0.920852107351173,0.703674298146503,0.12572854757309,0.452622771263123
measured,1,150,3375000,7,0.0861831420995215,1.16440382043816,0.121839791666667,2,fixed,Fixed Tucker-GMRES,2,1,4,1,iteration_limit,1.58476868695602e-07,1.7440903316075e-12,1.00294145349573e-10,9.85500550179651e-11,0.552526875,0.173695666666667,0.727993291666667,0.7304145,1.91934967041016,52,11,11,11,0,0.875557042314066,0.890102425388511,0.12572854757309,0.452622771263123
measured,1,150,3375000,7,0.0861831420995215,1.16440382043816,0.16519525,3,relaxed,Relaxed Tucker-GMRES,2,2,4,0,computed_preconditioned_target,1.7688785052622e-07,1.44426739758366e-16,6.07868517737809e-10,6.07868373311069e-10,0.195455625,0.150138083333333,0.347068333333333,0.348075166666667,0.410247802734375,20,11,11,11,0,0.920852107351173,0.703674298146503,0.12572854757309,0.452622771263123
measured,1,150,3375000,7,0.0861831420995215,1.16440382043816,0.120749541666667,1,full,Preconditioned full GMRES,2,3,4,1,cycle_length,3.64480464839782e-09,1.74756018529541e-12,1.74749314647928e-12,6.70388161351557e-17,0.96177325,0.172322,1.13410541666667,1.13520254166667,128.746032714844,NaN,NaN,NaN,NaN,0,NaN,NaN,0.12572854757309,0.452622771263123
measured,1,150,3375000,7,0.0861831420995215,1.16440382043816,0.122844958333333,3,relaxed,Relaxed Tucker-GMRES,3,1,4,0,computed_preconditioned_target,1.7688785052622e-07,1.44426739758366e-16,6.07868517737809e-10,6.07868373311069e-10,0.183124958333333,0.140682708333333,0.325761333333333,0.326754625,0.410247802734375,20,11,11,11,0,0.920852107351173,0.703674298146503,0.12572854757309,0.452622771263123
measured,1,150,3375000,7,0.0861831420995215,1.16440382043816,0.124936541666667,1,full,Preconditioned full GMRES,3,2,4,1,cycle_length,3.64480464839782e-09,1.74756018529541e-12,1.74749314647928e-12,6.70388161351557e-17,0.963872916666667,0.152249666666667,1.116132,1.11706633333333,128.746032714844,NaN,NaN,NaN,NaN,0,NaN,NaN,0.12572854757309,0.452622771263123
measured,1,150,3375000,7,0.0861831420995215,1.16440382043816,0.122184125,2,fixed,Fixed Tucker-GMRES,3,3,4,1,iteration_limit,1.58476868695602e-07,1.7440903316075e-12,1.00294145349573e-10,9.85500550179651e-11,0.642000041666667,0.20086625,0.844890958333333,0.847257791666667,1.91934967041016,52,11,11,11,0,0.875557042314066,0.890102425388511,0.12572854757309,0.452622771263123
measured,1,200,8000000,8,0.0586364180688692,1.11667759656164,0.232485416666667,1,full,Preconditioned full GMRES,1,1,4,1,cycle_length,3.31286440828815e-10,1.51418316030585e-13,1.51413131451785e-13,5.18457880047446e-18,2.89918695833333,0.428956166666667,3.32817704166667,3.334074875,305.17578125,NaN,NaN,NaN,NaN,0,NaN,NaN,0.298023223876953,1.07288360595703
